,,,,,,Play,Perf,Perf,Perf,Perf
Rk,Player,Nation,Pos,Squad,Age,MP,Gls,Ast,CrdY,CrdR
,,,,,,,,,,
228,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,20,9,0,0,3,0
229,José Holebas\Jose-Holebas,gr GRE,DFMF,Watford,32,33,2,4,14,0
230,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,19,18,0,1,2,0
231,George Honeyman\George-Honeyman,eng ENG,MF,Sunderland,21,5,0,0,1,0
232,Tom Huddlestone\Tom-Huddlestone,eng ENG,MF,Hull City,29,31,1,0,5,1
233,James Husband\James-Husband,eng ENG,DF,Middlesbrough,22,1,0,0,0,0
234,Robert Huth\Robert-Huth,de GER,DF,Leicester City,31,33,2,1,9,0
235,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,20,22,0,0,2,0
236,Jordon Ibe\Jordon-Ibe,eng ENG,MFFW,Bournemouth,20,25,0,0,0,0
237,Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,ga GAB,MF,Sunderland,22,31,1,0,5,0
238,Zlatan Ibrahimović\Zlatan-Ibrahimovic,se SWE,FW,Manchester Utd,34,28,17,5,7,0
239,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Watford,27,18,1,0,1,0
240,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FW,Manchester City,19,20,4,3,0,0
241,Giannelli Imbula\Giannelli-Imbula,cd COD,MF,Stoke City,23,12,0,0,1,0
242,Branislav Ivanović\Branislav-Ivanovic,rs SRB,DF,Chelsea,32,13,0,0,2,0
243,Alex Iwobi\Alex-Iwobi,ng NGA,MF,Arsenal,20,26,3,4,1,0
244,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Everton,33,27,3,2,5,2
245,Eldin Jakupović\Eldin-Jakupovic,ch SUI,GK,Hull City,31,22,0,0,0,0
246,Matty James\Matty-James,eng ENG,MF,Leicester City,25,1,0,0,0,0
247,Daryl Janmaat\Daryl-Janmaat,nl NED,MFDF,Watford,27,27,2,1,2,0
248,Vincent Janssen\Vincent-Janssen,nl NED,FW,Tottenham,22,27,2,2,0,0
249,Adnan Januzaj\Adnan-Januzaj,be BEL,MFFW,Sunderland,21,25,0,2,4,2
250,Mile Jedinak\Mile-Jedinak,au AUS,MF,Crystal Palace,31,1,0,0,0,0
251,Carl Jenkinson\Carl-Jenkinson,eng ENG,DF,Arsenal,24,1,0,0,0,0
252,Gabriel Jesus\Gabriel-Jesus,br BRA,FWMF,Manchester City,19,10,7,4,2,0
253,Glen Johnson\Glen-Johnson,eng ENG,DF,Stoke City,31,23,0,0,1,0
254,Billy Jones\Billy-Jones,eng ENG,DFMF,Sunderland,29,27,1,0,8,0
255,David Jones\David-Jones,eng ENG,MF,Burnley,31,1,0,0,1,0
256,Phil Jones\Phil-Jones,eng ENG,DF,Manchester Utd,24,18,0,0,2,0
257,Lukas Jutkiewicz\Lukas-Jutkiewicz,eng ENG,FW,Burnley,27,2,0,0,0,0
258,Christian Kabasele\Christian-Kabasele,be BEL,DFMF,Watford,25,16,2,0,1,0
259,Younès Kaboul\Younes-Kaboul,fr FRA,DF,Sunderland,30,1,0,0,0,0
260,Younès Kaboul\Younes-Kaboul,fr FRA,DF,Watford,30,22,2,0,2,0
261,Sullay Kaikai\Sullay-Kaikai,eng ENG,MF,Crystal Palace,20,1,0,0,0,0
262,Harry Kane\Harry-Kane,eng ENG,FW,Tottenham,23,30,29,5,3,0
263,N'Golo Kanté\NGolo-Kante,fr FRA,MF,Chelsea,25,35,1,1,9,0
264,Loris Karius\Loris-Karius,de GER,GK,Liverpool,23,10,0,0,0,0
265,Michael Keane\Michael-Keane,eng ENG,DF,Burnley,23,35,2,1,4,0
266,Will Keane\Will-Keane,eng ENG,FW,Hull City,23,5,0,0,0,0
267,Martin Kelly\Martin-Kelly,eng ENG,DF,Crystal Palace,26,29,0,2,4,0
268,Kenedy\Kenedy,br BRA,FWMF,Watford,20,1,0,0,0,0
269,Kenedy\Kenedy,br BRA,MF,Chelsea,20,1,0,0,0,0
270,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DFFW,Everton,19,1,0,0,0,0
271,Wahbi Khazri\Wahbi-Khazri,tn TUN,MFFW,Sunderland,25,21,1,0,6,0
272,Michael Kightly\Michael-Kightly,eng ENG,MF,Burnley,30,5,0,0,0,0
273,Andy King\Andy-King,wal WAL,MF,Leicester City,27,23,1,0,4,0
274,Joshua King\Joshua-King,no NOR,MFFW,Bournemouth,24,36,16,2,1,0
275,Stephen Kingsley\Stephen-Kingsley,sco SCO,DF,Swansea City,22,13,0,1,0,0
276,Jan Kirchhoff\Jan-Kirchhoff,de GER,MF,Sunderland,25,7,0,0,1,0
277,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Liverpool,30,20,0,0,3,0
278,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Manchester City,30,29,1,2,6,0
279,Vincent Kompany\Vincent-Kompany,be BEL,DF,Manchester City,30,11,3,0,5,0
